"postcode","pc_name","pc_type","pa_name","pa_fips","city_town","county","area_sqmi","shape_area","shape_len","zip3"
"02124","DORCHESTER CENTER","NON UNIQUE","DORCHESTER CENTER","17125","BOSTON","Suffolk","3.226868","8356972.7103","19212.6704216","021"
"02210","BOSTON","NON UNIQUE","BOSTON","07000","BOSTON","Suffolk","0.929826","2408081.4907","17028.9824604","022"
"02724","FALL RIVER","NON UNIQUE","FALL RIVER","23000","FALL RIVER","Bristol","2.336128","6050599.67943","15742.1570911","027"
"01701","FRAMINGHAM","NON UNIQUE","FRAMINGHAM","24960","FRAMINGHAM, TOWN OF","Middlesex","17.685529","45802247.7192","29823.1673213","017"
"01731","HANSCOM AFB","NON UNIQUE","HANSCOM AFB","28425","LINCOLN, TOWN OF","Middlesex","1.183229","3064392.27735","9131.26055129","017"
"01071","RUSSELL","NON UNIQUE","RUSSELL","58615","RUSSELL, TOWN OF","Hampden","21.198277","54899406.9392","42585.8260775","010"
"01569","UXBRIDGE","NON UNIQUE","UXBRIDGE","71585","UXBRIDGE, TOWN OF","Worcester","29.599182","76656537.4717","43714.4677355","015"
"02571","WAREHAM","NON UNIQUE","WAREHAM","72950","WAREHAM, TOWN OF","Plymouth","14.767557","38247342.5131","93433.6462122","025"
"01267","WILLIAMSTOWN","NON UNIQUE","WILLIAMSTOWN","79950","WILLIAMSTOWN, TOWN OF","Berkshire","62.386268","161578679.651","72046.9569985","012"
"01050","HUNTINGTON","NON UNIQUE","HUNTINGTON","31750","HUNTINGTON, TOWN OF","Hampshire","27.254741","70584594.3935","41373.5367793","010"
"01245","MONTEREY","NON UNIQUE","MONTEREY","42425","MONTEREY, TOWN OF","Berkshire","27.685643","71700382.1563","52977.6296287","012"
"02673","WEST YARMOUTH","NON UNIQUE","WEST YARMOUTH","78795","YARMOUTH, TOWN OF","Barnstable","9.747221","25245629.8554","43652.6487418","026"
"01983","TOPSFIELD","NON UNIQUE","TOPSFIELD","70115","TOPSFIELD, TOWN OF","Essex","14.773167","38261801.8011","36051.3252336","019"
"02648","MARSTONS MILLS","NON UNIQUE","MARSTONS MILLS","38995","BARNSTABLE","Barnstable","10.113158","26193336.5743","39061.8569692","026"
"02360","PLYMOUTH","NON UNIQUE","PLYMOUTH","54275","PLYMOUTH, TOWN OF","Plymouth","102.629045","265797644.928","110626.268966","023"
